#FinalClass GroupNumber SubGroupNumber GalaxyID  SuccessFlag
3.0 1.0 2.0 10007496.0 2.0
0.0 1.0 3.0 10048611.0 4.0
2.0 1.0 9.0 10087546.0 2.0
0.0 1.0 25.0 10133128.0 3.0
1.0 1.0 31.0 10167709.0 2.0
1.0 1.0 34.0 10189420.0 4.0
1.0 1.0 37.0 10229105.0 1.0
1.0 1.0 46.0 10247407.0 3.0
1.0 1.0 48.0 10251666.0 3.0
0.0 1.0 49.0 10270262.0 4.0
1.0 1.0 70.0 10296223.0 3.0
1.0 1.0 91.0 10316711.0 2.0
1.0 1.0 95.0 10363688.0 4.0
0.0 1.0 99.0 10366587.0 4.0
1.0 1.0 113.0 10377621.0 4.0
2.0 2.0 3.0 10408025.0 2.0
0.0 2.0 4.0 10484533.0 2.0
0.0 2.0 8.0 10508996.0 4.0
1.0 2.0 9.0 10520696.0 2.0
0.0 2.0 25.0 10637653.0 4.0
0.0 2.0 27.0 10639641.0 1.0
0.0 2.0 36.0 10645724.0 4.0
1.0 2.0 47.0 10756038.0 4.0
0.0 2.0 48.0 10770392.0 4.0
1.0 2.0 57.0 10838395.0 3.0
0.0 2.0 64.0 10857030.0 4.0
0.0 2.0 67.0 11450389.0 1.0
0.0 2.0 71.0 11464247.0 2.0
0.0 2.0 74.0 11472443.0 4.0
0.0 2.0 77.0 11570539.0 2.0
1.0 2.0 105.0 12070067.0 4.0
1.0 2.0 119.0 12099012.0 3.0
0.0 2.0 127.0 12100014.0 4.0
1.0 3.0 1.0 12140983.0 4.0
2.0 3.0 6.0 12159162.0 4.0
1.0 3.0 27.0 12184456.0 3.0
0.0 3.0 48.0 12206163.0 1.0
1.0 3.0 91.0 12661292.0 1.0
1.0 4.0 4.0 12703762.0 4.0
1.0 4.0 5.0 12759145.0 4.0
0.0 4.0 26.0 12767218.0 4.0
0.0 4.0 29.0 13151895.0 3.0
0.0 4.0 35.0 13172064.0 4.0
0.0 4.0 55.0 13246029.0 2.0
1.0 4.0 59.0 13249045.0 4.0
0.0 4.0 61.0 13255950.0 4.0
1.0 5.0 3.0 13632282.0 4.0
0.0 5.0 10.0 13638550.0 1.0
2.0 5.0 11.0 13652612.0 2.0
1.0 5.0 14.0 13664607.0 2.0
4.0 5.0 27.0 13698383.0 2.0
0.0 5.0 31.0 13700897.0 3.0
3.0 5.0 35.0 13720597.0 2.0
1.0 6.0 1.0 13738373.0 4.0
0.0 6.0 3.0 13872509.0 2.0
0.0 6.0 13.0 13886254.0 3.0
1.0 7.0 1.0 1406431.0 4.0
0.0 7.0 15.0 14117720.0 4.0
0.0 7.0 16.0 14847631.0 2.0
1.0 7.0 26.0 14866782.0 4.0
1.0 8.0 1.0 15180624.0 3.0
3.0 8.0 14.0 15298813.0 4.0
0.0 8.0 18.0 15381417.0 3.0
0.0 8.0 33.0 15418091.0 4.0
2.0 9.0 7.0 15494457.0 4.0
2.0 10.0 1.0 15597923.0 3.0
1.0 10.0 3.0 15651342.0 4.0
0.0 10.0 16.0 15804165.0 3.0
2.0 10.0 38.0 16018177.0 3.0
0.0 11.0 0.0 16030139.0 3.0
0.0 13.0 0.0 16214874.0 4.0
0.0 13.0 1.0 16229685.0 3.0
1.0 14.0 23.0 16262527.0 4.0
1.0 15.0 3.0 16322845.0 4.0
1.0 15.0 5.0 16360006.0 4.0
0.0 16.0 8.0 16433029.0 2.0
0.0 16.0 10.0 16459278.0 2.0
