#Snap redshift lookbacktime expansion_factor
28 0.00 0.00 1.000
27 0.10 1.34 0.909
26 0.18 2.29 0.846
25 0.27 3.23 0.787
24 0.37 4.16 0.732
23 0.50 5.19 0.665
22 0.62 6.01 0.619
21 0.74 6.71 0.576
20 0.87 7.37 0.536
19 1.00 7.93 0.499
18 1.26 8.86 0.443
17 1.49 9.49 0.402
16 1.74 10.05 0.365
15 2.01 10.53 0.332
14 2.24 10.86 0.309
13 2.48 11.16 0.287
12 3.02 11.66 0.249
11 3.53 12.01 0.221
10 3.98 12.25 0.201
9 4.49 12.46 0.182
8 5.04 12.63 0.166
7 5.49 12.75 0.154
6 5.97 12.86 0.143
5 7.05 13.04 0.124
4 8.07 13.16 0.110
3 8.99 13.25 0.100
